cycle_num,cycle_start,cycle_end,cycle_length_days,amplitude,std_dev_days,offset,r_squared,sos_date,pos_date,eos_date,sos_ndvi,pos_ndvi,eos_ndvi
1,2021-12-21,2025-12-16,1456.0,0.1280328273334384,727.9999999999607,0.31271747376689263,0.005034476460849091,2021-12-21,2023-08-06 06:07:15.749948,2025-12-16,0.4045757496600492,0.44075030110033103,0.37615581675793575
2,2021-12-21,2025-12-16,1456.0,0.1280328273334384,727.9999999999607,0.31271747376689263,0.005034476460849091,2021-12-21,2023-08-06 06:07:15.749948,2025-12-16,0.4045757496600492,0.44075030110033103,0.37615581675793575
